O/F,c*_m/s,Tc_K,Isp_vac_s_eps6,Isp_SL_s_eps6,gamma_chamber,MW_g/mol,cp_kJ/kg-K,mu_millipoise,Pr,rho_Isp_s-g/cc
1.00,1108.6,1216,192.35,172.71,1.1585,13.858,2.1189,0.4347,0.6195,142.7
1.10,1125.6,1242,195.21,175.27,1.1656,14.096,1.9139,0.4445,0.6168,144.1
1.20,1141.2,1268,197.80,177.58,1.1733,14.341,1.7114,0.4538,0.6132,145.3
1.30,1155.7,1295,200.17,179.70,1.1817,14.592,1.5189,0.4626,0.6083,146.4
1.40,1169.2,1322,202.36,181.65,1.1906,14.845,1.3416,0.4713,0.6022,147.4
1.50,1182.0,1350,204.40,183.46,1.2001,15.102,1.1823,0.4799,0.5948,148.4
1.60,1194.2,1379,206.32,185.17,1.2100,15.361,1.0429,0.4885,0.5862,149.3
1.70,1205.9,1410,208.14,186.78,1.2201,15.623,0.9239,0.4973,0.5769,150.1
1.80,1217.3,1442,209.88,188.32,1.2299,15.889,0.8248,0.5062,0.5674,150.9
1.90,1228.5,1476,211.55,189.79,1.2393,16.158,0.7442,0.5153,0.5584,151.7
2.00,1239.4,1510,213.16,191.21,1.2478,16.430,0.6803,0.5244,0.5504,152.5
2.10,1250.3,1546,214.72,192.57,1.2553,16.706,0.6305,0.5337,0.5438,153.2
2.20,1261.0,1582,216.23,193.89,1.2616,16.985,0.5922,0.5430,0.5388,153.9
2.30,1271.7,1618,217.69,195.16,1.2667,17.265,0.5629,0.5522,0.5354,154.6
2.40,1282.2,1654,219.11,196.40,1.2708,17.546,0.5406,0.5612,0.5332,155.3
2.50,1292.5,1690,220.48,197.59,1.2739,17.826,0.5234,0.5701,0.5321,156.0
2.60,1302.7,1725,221.82,198.74,1.2762,18.106,0.5099,0.5787,0.5316,156.6
2.70,1312.7,1759,223.11,199.86,1.2778,18.384,0.4989,0.5871,0.5316,157.3
2.80,1322.4,1793,224.36,200.94,1.2789,18.660,0.4897,0.5953,0.5318,157.9
2.90,1331.8,1825,225.58,201.99,1.2796,18.934,0.4817,0.6031,0.5321,158.5
3.00,1340.9,1857,226.75,203.00,1.2799,19.205,0.4746,0.6107,0.5323,159.1
3.10,1349.6,1890,227.88,203.98,1.2954,19.445,0.4637,0.6186,0.5303,159.6
3.20,1361.9,1952,229.34,205.22,1.3024,19.587,0.4396,0.6344,0.5216,160.4
3.30,1378.9,2023,231.21,206.79,1.2985,19.832,0.4372,0.6521,0.5226,161.5
3.40,1394.9,2091,233.22,208.51,1.2940,20.079,0.4371,0.6694,0.5236,162.6
3.50,1409.9,2157,235.27,210.30,1.2896,20.323,0.4375,0.6860,0.5236,163.8
3.60,1423.7,2220,237.34,212.12,1.2852,20.561,0.4384,0.7021,0.5225,165.1
3.70,1436.6,2281,239.40,213.95,1.2808,20.794,0.4396,0.7176,0.5202,166.4
3.80,1448.6,2339,241.44,215.78,1.2765,21.022,0.4413,0.7325,0.5168,167.6
3.90,1459.8,2396,243.40,217.55,1.2723,21.245,0.4433,0.7469,0.5125,168.9
4.00,1470.3,2450,245.28,219.24,1.2680,21.462,0.4459,0.7607,0.5074,170.0
